"","X","song","album","release_date","track_number","id","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Axis_type","B_type","X50s_type","D_type","E_type","fc"
"1",157,"ANTI-HERO","Midnights","2022-10-21",3,"0V3wPSX9ygBnCm8psDIegu","spotify:track:0V3wPSX9ygBnCm8psDIegu",0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,88,200690,FALSE,FALSE,FALSE,FALSE,TRUE,"Four Chords"
"2",158,"SNOW ON THE BEACH (FEAT. LANA DEL REY)","Midnights","2022-10-21",4,"1wtOxkiel43cVs0Yux5Q4h","spotify:track:1wtOxkiel43cVs0Yux5Q4h",0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,72,256124,FALSE,FALSE,FALSE,TRUE,FALSE,"Four Chords"
"3",160,"MIDNIGHT RAIN","Midnights","2022-10-21",6,"3rWDp9tBPQR9z6U5YyRSK4","spotify:track:3rWDp9tBPQR9z6U5YyRSK4",0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,80,174782,TRUE,FALSE,FALSE,FALSE,TRUE,"Four Chords"
"4",242,"CHAMPAGNE PROBLEMS","evermore","2020-12-11",2,"0sY6ZUTh4yoctD8VIXz339","spotify:track:0sY6ZUTh4yoctD8VIXz339",0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,78,244000,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"5",253,"MARJORIE","evermore","2020-12-11",13,"12ntTeqEeTg7GAVpe8Mhpl","spotify:track:12ntTeqEeTg7GAVpe8Mhpl",0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,70,257773,FALSE,FALSE,FALSE,TRUE,FALSE,"Four Chords"
"6",316,"ILLICIT AFFAIRS","folklore","2020-07-24",10,"2NmsngXHeC1GQ9wWrzhOMf","spotify:track:2NmsngXHeC1GQ9wWrzhOMf",0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,0.46,79,190898,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"7",317,"INVISIBLE STRING","folklore","2020-07-24",11,"6VsvKPJ4xjVNKpI8VVZ3SV","spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV",0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,75,252880,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"8",319,"EPIPHANY","folklore","2020-07-24",13,"08fa9LFcFBTcilB3iq2e2A","spotify:track:08fa9LFcFBTcilB3iq2e2A",0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,66,289749,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"9",327,"THE ARCHER","Lover","2019-08-23",5,"3pHkh7d0lzM2AldUtz2x37","spotify:track:3pHkh7d0lzM2AldUtz2x37",0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,79,211240,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"10",331,"CORNELIA STREET","Lover","2019-08-23",9,"12M5uqx0ZuwkpLp5rJim1a","spotify:track:12M5uqx0ZuwkpLp5rJim1a",0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,76,287266,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"11",333,"LONDON BOY","Lover","2019-08-23",11,"1LLXZFeAHK9R4xUramtUKw","spotify:track:1LLXZFeAHK9R4xUramtUKw",0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,76,190240,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"12",337,"AFTERGLOW","Lover","2019-08-23",15,"1SymEzIT3H8UZfibCs3TYi","spotify:track:1SymEzIT3H8UZfibCs3TYi",0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,77,223293,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"13",340,"DAYLIGHT","Lover","2019-08-23",18,"1fzAuUVbzlhZ1lJAx9PtY6","spotify:track:1fzAuUVbzlhZ1lJAx9PtY6",0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,81,293453,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"14",349,"GETAWAY CAR","reputation","2017-11-10",9,"0VE4kBnHJUgtMf0dy6DRmW","spotify:track:0VE4kBnHJUgtMf0dy6DRmW",0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,0.351,82,233626,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"15",350,"KING OF MY HEART","reputation","2017-11-10",10,"7HuBDWi18s4aJM8UFnNheH","spotify:track:7HuBDWi18s4aJM8UFnNheH",0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,0.314,74,214320,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"16",353,"THIS IS WHY WE CAN'T HAVE NICE THINGS","reputation","2017-11-10",13,"07NxDD1iKCHbAldceD7QLP","spotify:track:07NxDD1iKCHbAldceD7QLP",0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,72,207133,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"17",422,"BLANK SPACE","1989","2014-10-27",2,"1p80LdxRV74UKvL8gnD7ky","spotify:track:1p80LdxRV74UKvL8gnD7ky",0.085,0.753,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,0.583,80,231826,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"18",424,"OUT OF THE WOODS","1989","2014-10-27",4,"5OndtwLGA9O6XHFcGm2H7r","spotify:track:5OndtwLGA9O6XHFcGm2H7r",0.00103,0.552,0.842,1.17e-05,0.337,-6.938,0.0373,91.991,0.343,76,235800,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"19",427,"I WISH YOU WOULD","1989","2014-10-27",7,"3wmN11qXGL0HyPojvEE1D9","spotify:track:3wmN11qXGL0HyPojvEE1D9",0.016,0.648,0.898,9.91e-05,0.109,-5.963,0.0513,118.02,0.502,73,207440,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"20",428,"BAD BLOOD","1989","2014-10-27",8,"273dCMFseLcVsoSWx59IoE","spotify:track:273dCMFseLcVsoSWx59IoE",0.0871,0.65,0.802,6.54e-06,0.148,-6.114,0.181,170.146,0.295,73,211933,FALSE,FALSE,FALSE,FALSE,TRUE,"Four Chords"
"21",429,"WILDEST DREAMS","1989","2014-10-27",9,"59HjlYCeBsxdI0fcm3zglw","spotify:track:59HjlYCeBsxdI0fcm3zglw",0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,79,220440,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"22",431,"THIS LOVE","1989","2014-10-27",11,"3oKMl2tJv4fdidkXUYMI5x","spotify:track:3oKMl2tJv4fdidkXUYMI5x",0.635,0.475,0.459,0,0.101,-8.768,0.0333,143.988,0.0828,43,250093,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"23",432,"I KNOW PLACES","1989","2014-10-27",12,"3jBMHD19RZdAqG9iFQh7xc","spotify:track:3jBMHD19RZdAqG9iFQh7xc",0.231,0.596,0.763,0,0.2,-4.99,0.0661,159.958,0.507,70,195706,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"24",433,"CLEAN","1989","2014-10-27",13,"06WgOCf0LV2h4keYXDRnuh","spotify:track:06WgOCf0LV2h4keYXDRnuh",0.241,0.81,0.379,0,0.113,-7.771,0.0349,103.981,0.22,74,271000,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"25",458,"TREACHEROUS","Red","2012-10-22",3,"5kYFVSQoPu7yRpfiHBwMUk","spotify:track:5kYFVSQoPu7yRpfiHBwMUk",0.101,0.705,0.621,4.3e-06,0.147,-8.086,0.0334,109.993,0.395,67,240773,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"26",459,"I KNEW YOU WERE TROUBLE","Red","2012-10-22",4,"72jCZdH0Lhg93z6Z4hBjgj","spotify:track:72jCZdH0Lhg93z6Z4hBjgj",0.00454,0.622,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,76,217973,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"27",460,"ALL TOO WELL","Red","2012-10-22",5,"4XMP3zVxrnr58T0tjIHvpR","spotify:track:4XMP3zVxrnr58T0tjIHvpR",0.0382,0.602,0.609,2e-04,0.127,-7.803,0.0243,93.06,0.337,73,327893,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"28",463,"WE ARE NEVER EVER GETTING BACK TOGETHER","Red","2012-10-22",8,"7AEAGTc8cReDqcbPoY9gwo","spotify:track:7AEAGTc8cReDqcbPoY9gwo",0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,0.75,77,191880,FALSE,FALSE,FALSE,FALSE,TRUE,"Four Chords"
"29",467,"SAD BEAUTIFUL TRAGIC","Red","2012-10-22",12,"6LKjHhOW1az75pCQ9XJJtF","spotify:track:6LKjHhOW1az75pCQ9XJJtF",0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,67,283680,FALSE,TRUE,FALSE,FALSE,FALSE,"Four Chords"
"30",467,"SAD BEAUTIFUL TRAGIC","Red","2012-10-22",12,"6LKjHhOW1az75pCQ9XJJtF","spotify:track:6LKjHhOW1az75pCQ9XJJtF",0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,67,283680,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
"31",469,"EVERYTHING HAS CHANGED","Red","2012-10-22",14,"4NAmRvqSITAAzKWnC8yRq3","spotify:track:4NAmRvqSITAAzKWnC8yRq3",0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,0.436,49,243933,TRUE,FALSE,FALSE,FALSE,FALSE,"Four Chords"
"32",469,"EVERYTHING HAS CHANGED","Red","2012-10-22",14,"4NAmRvqSITAAzKWnC8yRq3","spotify:track:4NAmRvqSITAAzKWnC8yRq3",0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,0.436,49,243933,FALSE,FALSE,TRUE,FALSE,FALSE,"Four Chords"
